"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5bRUlGjTbV3WlqojhxCDqa","BRAVE NEW WORLD","spotify:artist:0kD8IT1CzF7js2XKM9lLLa","STARSET","spotify:album:2oJJxFn3IOAlbvdX6cS2BH","DYSTOPIA","spotify:artist:0kD8IT1CzF7js2XKM9lLLa","STARSET","2024-11-08","https://i.scdn.co/image/ab67616d0000b273038d993b1b24ea75d6c9d62a","1","4","263942","","true","27","US5262426538","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2024-11-09T05:40:55Z"
"spotify:track:0B4YX3OMtZSmPm9KpiZKl2","Alkaline","spotify:artist:2n2RSaZqBuUUukhbLlpnE6","Sleep Token","spotify:album:4SD2UxRO9OgeSCQK0PN7cC","This Place Will Become Your Tomb","spotify:artist:2n2RSaZqBuUUukhbLlpnE6","Sleep Token","2021-09-24","https://i.scdn.co/image/ab67616d0000b27336afd3d53b6dcc59f3563cf9","1","7","214106","https://p.scdn.co/mp3-preview/0965f397de2fe4fee17c02242f471ea2fda16e64?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","GBUM72101269","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2024-11-18T02:15:03Z"
"spotify:track:7MK21UAFrkb79imh8zR4W6","Human","spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz","Of Monsters and Men","spotify:album:2mD97VgxTRfwB8F5tvkwrL","Beneath The Skin","spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz","Of Monsters and Men","2015-06-05","https://i.scdn.co/image/ab67616d0000b273bfac187296a90fcb0a5f97c0","1","2","237813","","false","29","USUG11500396","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2024-12-18T04:03:00Z"
"spotify:track:3AHNLrPiRcQaPpSRw1FJyk","The Emptiness Machine","spotify:artist:1S4xN9nvW5vlFoRBisdxUL","Halocene","spotify:album:4k9uADHlQRcD6LcjQKlRjC","The Emptiness Machine","spotify:artist:1S4xN9nvW5vlFoRBisdxUL","Halocene","2024-11-22","https://i.scdn.co/image/ab67616d0000b2737270c87290290b50d63094b0","1","1","194673","https://p.scdn.co/mp3-preview/c1ef39d33fd0c038ff214b877d3c3cf4b85ad336?cid=9950ac751e34487dbbe027c4fd7f8e99","true","31","QZPJ32423841","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2024-12-23T06:34:25Z"
"spotify:track:1AZ1fGDfDtaCg0CQOrQ7ni","Plenty","spotify:artist:52KatchKjz0L2amwBDxxwO","aeseaes","spotify:album:6WhTdZZhr7h6yMp7fe2qxv","Plenty","spotify:artist:52KatchKjz0L2amwBDxxwO","aeseaes","2024-05-17","https://i.scdn.co/image/ab67616d0000b2731a9199c7fc754eafb69a7010","1","1","150036","https://p.scdn.co/mp3-preview/633332ad8ac41b976b82b59ef74994f34d1b0b21?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","QZ5FN1761986","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2025-01-08T18:54:23Z"
"spotify:track:3fpCHHmFbeD5AuLYPMBb31","Wolf In Sheep's Clothing [REBORN]","spotify:artist:2IeMt1qx6ZVt1HFjdfE5tl, spotify:artist:6jDwZUFYUH1dC4xWzOd8QU","Jonathan Young, Caleb Hyles","spotify:album:5LQnlHQWhdbQcM0BUs77eq","Wolf In Sheep's Clothing [REBORN]","spotify:artist:2IeMt1qx6ZVt1HFjdfE5tl, spotify:artist:6jDwZUFYUH1dC4xWzOd8QU","Jonathan Young, Caleb Hyles","2025-02-06","https://i.scdn.co/image/ab67616d0000b273a60737772016ff3e40055f53","1","1","199389","https://p.scdn.co/mp3-preview/529d95f28cc86b7e54ab55feba354f1d73d9cc07?cid=9950ac751e34487dbbe027c4fd7f8e99","true","29","QZPEW2548659","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2025-02-07T03:05:37Z"
"spotify:track:71bOaf3Ai4pHK4tqOJqmEi","I Feel Fine (remix)","spotify:artist:2EzEehpkduwnWPYQdHaJfi, spotify:artist:5bO289lfxAHDKDrrR7UytN, spotify:artist:1Fyox4IUt6IbIoM7kD6iOH","Lucky Dog, MYTCH, AllBalloonsPop","spotify:album:121eb1gs0iwY5GmXda1Cde","I Feel Fine (remix)","spotify:artist:2EzEehpkduwnWPYQdHaJfi, spotify:artist:5bO289lfxAHDKDrrR7UytN, spotify:artist:1Fyox4IUt6IbIoM7kD6iOH","Lucky Dog, MYTCH, AllBalloonsPop","2025-02-14","https://i.scdn.co/image/ab67616d0000b2730a8e75ec679c5763ddf4da69","1","1","194358","https://p.scdn.co/mp3-preview/aa3fb21717642af141b4d16f365ec83a39141767?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QZFZ62538132","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2025-02-16T19:27:38Z"
"spotify:track:0yNiaePZow0ycdrmLV0J7y","1985","spotify:artist:2Waw2sSbqvAwK8NwACNjVo","Bo Burnham","spotify:album:73nnfo3idQepE031scuaBJ","THE INSIDE OUTTAKES","spotify:artist:2Waw2sSbqvAwK8NwACNjVo","Bo Burnham","2022-06-02","https://i.scdn.co/image/ab67616d0000b273f9bc86bf12d31f62d691c0cc","1","4","146654","https://p.scdn.co/mp3-preview/6b69ed4cc3024d85e9af983d21e1fcb4c06a2e05?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","USA2P2225075","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2025-02-17T00:31:07Z"
"spotify:track:7dy2aVlNO91laWbvfP8KY6","NPC","spotify:artist:00YTqRClk82aMchQQpYMd5","Our Last Night","spotify:album:3huYKWBrjxU3ayUkAQHNuY","NPC","spotify:artist:00YTqRClk82aMchQQpYMd5","Our Last Night","2025-04-04","https://i.scdn.co/image/ab67616d0000b273518ded695dd293d96992d2c1","1","1","213586","https://p.scdn.co/mp3-preview/284158bfa0ea7ce5cc300d32949b0b451c007bed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","QZES52559672","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2025-04-05T15:21:29Z"
"spotify:track:1ulH5PIntNj0ro2K69W4Fx","Damocles","spotify:artist:2n2RSaZqBuUUukhbLlpnE6","Sleep Token","spotify:album:5ariqOmY9FYLTn2HmXcwAw","Damocles","spotify:artist:2n2RSaZqBuUUukhbLlpnE6","Sleep Token","2025-04-25","https://i.scdn.co/image/ab67616d0000b2735064e08433868d1edca6e60e","1","1","264836","https://p.scdn.co/mp3-preview/6acaa5db8d3159099f87ccf933f36b8dd905124c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USRC12500020","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2025-04-25T05:24:26Z"
