"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1qryufs666Lin7eVjwdkY2","lackout","spotify:artist:2TobdWVZ5OdYaRqwN4kXzY","Violin Guy","spotify:album:1UrGizqrYAZcE032DlzUKy","words","spotify:artist:2TobdWVZ5OdYaRqwN4kXzY","Violin Guy","2025-04-23","https://i.scdn.co/image/ab67616d0000b2731fedbe156d360b5fb51ef63b","1","8","125978","https://p.scdn.co/mp3-preview/8f5bddb7f8404bf0ea66896863c39e1395babeb9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","QZFZ42563197","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2025-12-30T04:22:41Z"
"spotify:track:5eE6TFBZfjmCgoEx9mf7PN","Solstice","spotify:artist:79h56VcePe4n1k0DCuQpX7","Maromaro","spotify:album:3o3CMeJSiUKwCrXWQKoOHX","Solstice","spotify:artist:79h56VcePe4n1k0DCuQpX7","Maromaro","2025-12-18","https://i.scdn.co/image/ab67616d0000b2736338466361f3f0b2aba223e6","1","1","250098","https://p.scdn.co/mp3-preview/20aa607302ce411bdd6ed7336336562f4344608a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","PL8G22500072","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2026-01-05T19:26:25Z"
"spotify:track:5OenUWwcUBDltPyN1Hh40D","Danse Macabre, Op. 40, R.171","spotify:artist:436sYg6CZhNefQJogaXeK0, spotify:artist:4AcXapei4U7xnWecv9AEBd, spotify:artist:5uzHTiIlBm52CfvHki0BXF, spotify:artist:3JzgNB1Kzlc17zuSzrC51x","Camille Saint-Saëns, Orchestre Symphonique de Montréal, Andrew Wan, Kent Nagano","spotify:album:46X1IgQ1swAVlNeUJeAHwu","Halloween Music","spotify:artist:436sYg6CZhNefQJogaXeK0","Camille Saint-Saëns","2021-10-27","https://i.scdn.co/image/ab67616d0000b2739ff5f6f0699e74894701c3a9","1","1","442693","","false","56","CA5KV1610005","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2026-01-12T20:40:47Z"
"spotify:track:0uCM5jMCb6tXrGU7mCTHRF","うみのそこでまってる","spotify:artist:6WmXWHmfBMhupyIs8MSqtu","natori","spotify:album:5bPtxy1zsivShMZKJVrzfF","深海","spotify:artist:6WmXWHmfBMhupyIs8MSqtu","natori","2026-01-21","https://i.scdn.co/image/ab67616d0000b27329f649edf51edde6fdf01a09","1","18","109725","https://p.scdn.co/mp3-preview/7c886dcefe757ca143d29e41ea2b54dcce6c09b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","JPU902504559","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2026-01-24T04:15:45Z"
"spotify:track:1TWh98jsdVDG7Uvdx2BxG3","The Lark Ascending","spotify:artist:7wNkISK49lKeXuRaZcQVFe, spotify:artist:1Q9HCWdqbiui9pOsDtYkXW, spotify:artist:1z9u3vLr7gw6IBS8CP8c2X, spotify:artist:23BiSNXm5UaRFuusoWisYO, spotify:artist:0yB2SgzCCYb9uhjd4BG4pP, spotify:artist:7McyCDljdOKb1eNqfFyPPX","Ralph Vaughan Williams, Andrew Davis, BBC Philharmonic, BBC Symphony Orchestra, Tasmin Little, Sir Andrew Davis","spotify:album:25dO3fB9FAyOPr7uJH5yOA","Vaughan Williams: The Lark Ascending","spotify:artist:1Q9HCWdqbiui9pOsDtYkXW, spotify:artist:1z9u3vLr7gw6IBS8CP8c2X, spotify:artist:0yB2SgzCCYb9uhjd4BG4pP, spotify:artist:7McyCDljdOKb1eNqfFyPPX","Andrew Davis, BBC Philharmonic, Tasmin Little, Sir Andrew Davis","2013-11-01","https://i.scdn.co/image/ab67616d0000b273a47251a55dfdb4e2d9e06da9","1","9","936546","https://p.scdn.co/mp3-preview/ce51d02bed688cd557a9f1545114cebdafd083db?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","GBLWD1307609","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2026-02-01T18:22:00Z"
"spotify:track:2qtTHMRDUjlSmiZuGuvsQV","Obscura","spotify:artist:1s71OiuXqJ8Catad9h0dlq, spotify:artist:0brORfY1t5Qs2VrWVem9SB, spotify:artist:62IE8780a3EQi3hqeKVZFJ","Power-Haus, Christian Reindl, Lucie Paradis","spotify:album:7I2deavkKSIAstYilQyKwc","Lumen","spotify:artist:1s71OiuXqJ8Catad9h0dlq, spotify:artist:0brORfY1t5Qs2VrWVem9SB, spotify:artist:62IE8780a3EQi3hqeKVZFJ","Power-Haus, Christian Reindl, Lucie Paradis","2021-03-12","https://i.scdn.co/image/ab67616d0000b273eb81141317b1819a2ef78b02","1","6","129001","https://p.scdn.co/mp3-preview/4a4ecc3d7f208d82695b729c523bd5f0a7015442?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","GBHGV2100031","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2026-02-11T22:57:37Z"
"spotify:track:6KZuh2C4mRcby9kVF8r7U3","Hel (bonus track)","spotify:artist:1s71OiuXqJ8Catad9h0dlq, spotify:artist:0brORfY1t5Qs2VrWVem9SB","Power-Haus, Christian Reindl","spotify:album:5yF7Af4qy3UQLKx6Z65e09","The North Album","spotify:artist:1s71OiuXqJ8Catad9h0dlq","Power-Haus","2020-07-03","https://i.scdn.co/image/ab67616d0000b2735dbe52ba58a5d9922ec1006e","1","6","146000","https://p.scdn.co/mp3-preview/9e0472b8ab2ef0bf0e16b8e5792ddf412df34bc4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","GBHGV2000075","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2026-02-11T23:09:40Z"
"spotify:track:4tt4Q0q7YpCtwEhe8Cau6a","starlorn","spotify:artist:2TobdWVZ5OdYaRqwN4kXzY","Violin Guy","spotify:album:1UrGizqrYAZcE032DlzUKy","words","spotify:artist:2TobdWVZ5OdYaRqwN4kXzY","Violin Guy","2025-04-23","https://i.scdn.co/image/ab67616d0000b2731fedbe156d360b5fb51ef63b","1","7","134117","https://p.scdn.co/mp3-preview/89f67a9d2bf60c43bb6670cadd5946674635997b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","QT3EZ2402111","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2026-04-21T15:13:02Z"
"spotify:track:57SlymI5riZWhZEvi1Rd3G","monachopsis","spotify:artist:2TobdWVZ5OdYaRqwN4kXzY","Violin Guy","spotify:album:69wknuaHINvptygM8rJq7y","monachopsis","spotify:artist:2TobdWVZ5OdYaRqwN4kXzY","Violin Guy","2025-01-20","https://i.scdn.co/image/ab67616d0000b273008c1cd0c4c952e5c3ee2f7d","1","1","156000","https://p.scdn.co/mp3-preview/1befded2658658e2ba749732882fdb20c4d87924?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","QZZ7Q2428338","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2026-04-21T16:21:34Z"
"spotify:track:1FeaJAYNMs5VrtD8fhUHV0","fluxemos","spotify:artist:2TobdWVZ5OdYaRqwN4kXzY","Violin Guy","spotify:album:3jBkwQNP3jmygMysIh0lLs","fluxemos","spotify:artist:2TobdWVZ5OdYaRqwN4kXzY","Violin Guy","2025-01-13","https://i.scdn.co/image/ab67616d0000b273e5ae6bbc68eb2c0e490f37b6","1","1","154968","https://p.scdn.co/mp3-preview/55dbee260bd343247a886ea4f9f65574b6a7e133?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","QZZ7Q2427439","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2026-04-21T16:23:00Z"
"spotify:track:466G6i5691zxfCFd4btCkQ","Synchronism No.3 for cello and electronics","spotify:artist:0RkeeCvii56vYCER2jY5IH, spotify:artist:0XHk7PtuOa6O6wTLnM3lwW","Mario Davidovsky, Juan Sebastian Delgado","spotify:album:5iZUkZoeItce3liqbhZr8o","Synchronism No.3 for cello and electronics","spotify:artist:0RkeeCvii56vYCER2jY5IH, spotify:artist:0XHk7PtuOa6O6wTLnM3lwW","Mario Davidovsky, Juan Sebastian Delgado","2024-01-19","https://i.scdn.co/image/ab67616d0000b273a1b297b109e5396d3acee322","1","1","279008","https://p.scdn.co/mp3-preview/278b1ea5aceae669e5901e1ab57c04eeab731632?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","CBDVH2400001","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2026-04-25T13:42:54Z"
"spotify:track:763zLgdNSkccIhBhTn5wfT","Mane - Demo","spotify:artist:2TobdWVZ5OdYaRqwN4kXzY","Violin Guy","spotify:album:2qKpeXNz0x5TYWZsAKdHfY","Mane (Demo)","spotify:artist:2TobdWVZ5OdYaRqwN4kXzY","Violin Guy","2026-06-15","https://i.scdn.co/image/ab67616d0000b2738fcd730efa628e06d72a0700","1","1","65000","","false","1","USLZJ2686815","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2026-07-04T03:29:40Z"
